Time,Speed
0,0
0.35,0
0.7,0
1.05,0
1.4,0
1.75,0
2.1,0
2.45,0
2.8,0
3.15,0
3.5,0
3.85,0
4.2,0.305254
4.55,0.602475
4.9,0.907729
5.25,1.20495
5.6,1.20495
5.95,1.20495
6.3,1.20495
6.65,1.20495
7,1.20495
7.35,1.20495
7.7,1.20495
8.05,1.20495
8.4,0.96396
8.75,0.72297
9.1,0.48198
9.45,0.24099
9.8,0
10.15,0
10.5,0
10.85,0
11.2,0
11.55,0
11.9,0
12.25,0
12.6,0
12.95,0
13.3,0
13.65,0
14,0
14.35,0
14.7,0
15.05,0
15.4,0
15.75,0
16.1,0
16.45,0
16.8,0
17.15,0
17.5,0.216891
17.85,0.425749
18.2,0.64264
18.55,0.859531
18.9,1.068389
19.25,1.28528
19.6,1.502171
19.95,1.711029
20.3,1.92792
20.65,2.144811
21,2.353669
21.35,2.57056
21.7,2.57056
22.05,2.57056
22.4,2.57056
22.75,2.57056
23.1,2.57056
23.45,2.57056
23.8,2.57056
24.15,2.57056
24.5,2.57056
24.85,2.57056
25.2,2.57056
25.55,2.57056
25.9,2.57056
26.25,2.57056
26.6,2.57056
26.95,2.57056
27.3,2.57056
27.65,2.57056
28,2.57056
28.35,2.57056
28.7,2.57056
29.05,2.57056
29.4,2.57056
29.75,2.57056
30.1,2.337603
30.45,2.104646
30.8,1.871689
31.15,1.638732
31.5,1.405775
31.85,1.164785
32.2,0.931828
32.55,0.698871
32.9,0.465914
33.25,0.232957
33.6,0
33.95,0
34.3,0
34.65,0
35,0
35.35,0
35.7,0
36.05,0
36.4,0
36.75,0
37.1,0
37.45,0
37.8,0
38.15,0
38.5,0
38.85,0
39.2,0
39.55,0
39.9,0
40.25,0
40.6,0
40.95,0
41.3,0.152627
41.65,0.305254
42,0.465914
42.35,0.618541
42.7,0.771168
43.05,0.923795
43.4,1.084455
43.75,1.237082
44.1,1.389709
44.45,1.542336
44.8,1.702996
45.15,1.879722
45.5,2.00825
45.85,2.160877
46.2,2.313504
46.55,2.474164
46.9,2.626791
47.25,2.779418
47.6,2.932045
47.95,3.092705
48.3,3.245332
48.65,3.397959
49,3.550586
49.35,3.711246
49.7,3.863873
50.05,4.0165
50.4,4.0165
50.75,4.0165
51.1,4.0165
51.45,4.0165
51.8,4.0165
52.15,4.0165
52.5,4.0165
52.85,4.0165
53.2,4.0165
53.55,4.0165
53.9,4.0165
54.25,4.0165
54.6,3.863873
