Time,Speed
0,0
0.35,0
0.7,0
1.05,0
1.4,0
1.75,0
2.1,0
2.45,0
2.8,0
3.15,0
3.5,0
3.85,0
4.2,0
4.55,0
4.9,0
5.25,0
5.6,0
5.95,0
6.3,0
6.65,0
7,0
7.35,0.38889
7.7,0.764817
8.05,1.114818
8.4,1.490745
8.75,1.853709
9.1,2.190747
9.45,2.242599
9.8,2.346303
10.15,2.683341
10.5,2.812971
10.85,2.903712
11.2,2.916675
11.55,2.864823
11.9,2.787045
12.25,2.709267
12.6,2.644452
12.95,2.566674
13.3,2.20371
13.65,1.931487
14,1.931487
14.35,1.970376
14.7,2.009265
15.05,2.07408
15.4,2.216673
15.75,2.475933
16.1,2.735193
16.45,2.942601
16.8,2.968527
17.15,2.942601
17.5,2.929638
17.85,2.761119
18.2,2.46297
18.55,2.216673
18.9,2.048154
19.25,2.048154
19.6,2.294451
19.95,2.566674
20.3,2.800008
20.65,3.007416
21,3.137046
21.35,3.188898
21.7,3.227787
22.05,3.24075
22.4,3.188898
22.75,3.175935
23.1,3.201861
23.45,3.214824
23.8,3.201861
24.15,3.188898
24.5,3.188898
24.85,3.253713
25.2,3.318528
25.55,3.331491
25.9,3.292602
26.25,3.227787
26.6,3.24075
26.95,3.292602
27.3,3.37038
27.65,3.37038
28,3.331491
28.35,3.383343
28.7,3.461121
29.05,3.564825
29.4,3.707418
29.75,3.798159
30.1,3.862974
30.45,3.901863
30.8,3.940752
31.15,3.979641
31.5,3.979641
31.85,3.953715
32.2,3.940752
32.55,3.927789
32.9,3.940752
33.25,3.992604
33.6,3.940752
33.95,3.875937
34.3,3.824085
34.65,3.862974
35,3.927789
35.35,3.979641
35.7,4.005567
36.05,4.01853
36.4,4.005567
36.75,3.940752
37.1,3.862974
37.45,3.875937
37.8,3.914826
38.15,3.979641
38.5,4.044456
38.85,4.122234
39.2,4.174086
39.55,4.200012
39.9,4.174086
40.25,4.109271
40.6,3.707418
40.95,3.279639
41.3,2.85186
41.65,2.424081
42,1.996302
42.35,1.568523
42.7,1.140744
43.05,0.712965
43.4,0.285186
43.75,0
44.1,0
44.45,0
44.8,0
45.15,0
45.5,0
45.85,0
46.2,0
46.55,0
46.9,0
47.25,0
47.6,0
47.95,0
48.3,0
48.65,0
49,0
49.35,0
49.7,0
50.05,0
50.4,0
50.75,0
51.1,0
51.45,0
51.8,0
52.15,0
52.5,0
52.85,0
53.2,0
53.55,0
53.9,0
54.25,0
